name,likely_temporary
ADASYN,False
ANTHRO_SOURCE_DROPPED_COLUMNS,False
ARTIFACT_DIR,False
AUTO_MERGED_DATA_PATH,False
AdaBoostClassifier,False
BEHAVIOR_RAW_CANDIDATES,False
BEHAVIOR_RAW_PURGED_COLUMNS,False
BP_DROPPED_COLUMNS,False
BP_LEAKAGE_GUARD_ACTIVE,False
COLLINEARITY_CUTOFF,False
COLLINEARITY_PROTECTED_FEATURES,False
CV_FOLDS_STAGE1,False
CV_FOLDS_STAGE2,False
CatBoostClassifier,False
ColumnTransformer,False
DATASET2015_CANDIDATES,False
DATA_CANDIDATES,False
DICTIONARY_FILES_USED,False
DICT_DIR_CANDIDATES,False
DICT_IDENTIFIER_DROPPED_COLUMNS,False
DICT_IDENTIFIER_VARIABLES,False
ENGINEERED_BASE_FEATURES_CREATED,False
ENGINEERED_BASE_FEATURE_SOURCE_MAP,False
ENGINEERED_FEATURES_PHASE2,False
EXPLAIN_DIR,False
FINAL_EPOCHS,False
GaussianNB,False
HEIGHT_WEIGHT_DROPPED_COLUMNS,False
ID_KEYWORDS,False
In,False
IsotonicRegression,False
KNNImputer,False
KNeighborsClassifier,False
LGBMClassifier,False
LIME_DIR,False
LOCAL_DATASET2015,False
LabelEncoder,False
LimeTabularExplainer,False
LogisticRegression,False
MANUAL_NON_PREDICTIVE_CANDIDATES,False
MANUAL_NON_PREDICTIVE_DROPPED_COLUMNS,False
MODEL_DIR,False
OneHotEncoder,False
Out,False
PROJECT_ROOT,False
ParameterSampler,False
Path,False
Pipeline,False
RANDOM_SEED,False
RAW_VARIABLES_BEFORE_CULL,False
RandomForestClassifier,False
SMOTE,False
STACK_BLEND_TRIALS,False
STACK_META_TRIALS,False
STACK_OOF_FOLDS,False
STACK_TOP_BASE_MODELS,False
STAGE1_EPOCHS,False
STAGE1_TRIALS_PER_MODEL,False
STAGE2_EPOCHS,False
STAGE2_REFINEMENTS_PER_TOP_CONFIG,False
SimpleImputer,False
StandardScaler,False
StratifiedKFold,False
TARGET_CANDIDATES,False
TARGET_DEFINED_FROM_BP,False
TARGET_SOURCE_COLUMNS,False
TOP_K_STAGE1,False
TOP_K_STAGE2,False
USE_GPU_WHEN_AVAILABLE,False
V2211_ROOT,False
VARIABLES_AFTER_BASE_CULL,False
VennAbers,False
X,False
XGBClassifier,False
X_test,False
X_test_fe,False
X_test_final,False
X_test_proc,False
X_tmp,False
X_train,False
X_train_fe,False
X_train_final,False
X_train_proc,False
X_valid,False
X_valid_fe,False
X_valid_final,False
X_valid_proc,False
accuracy_score,False
adasyn_available,False
alcohol_feature,False
alcohol_sources,False
all_cols,False
anthro_cols,False
anthro_source_cols,False
audit_rows,False
axes,False
base_cols,False
base_predictor_cols,False
bmi_feature,False
bmi_source_cols,False
bp_tokens_guard,False
build_alcohol_level_feature,False
build_bmi_feature,False
build_smoking_level_feature,False
build_whr_feature,False
c,True
c_lc,False
cat_available,False
cat_cols,False
categorical_pipe,False
col,False
collinearity_filter,False
corr,False
data_path,False
dbp,False
dbp_col,False
deepcopy,False
df,True
dict_drop_set,False
drop_id_like,False
dropped_cols,False
engineered_only,False
engineered_test,False
engineered_train,False
engineered_valid,False
exit,False
expit,False
extract_identifier_variables_from_dictionaries,False
f1_score,False
fe_log1p_cols,False
feature_engineering,False
feature_names,False
fig,False
final_lower,False
final_var,False
find_bp_like_columns,False
find_dictionary_files,False
find_first_column,False
find_first_column_case_insensitive,False
get_ipython,False
has_token,False
imblearn_available,False
in_bp_drop,False
in_dict_drop,False
in_id_drop,False
infer_bp_columns,False
infer_target_column,False
is_bp_like_var,False
is_id_like_var,False
joblib,False
json,False
keep_cols,False
kept_after_base_filters,False
kept_identifier_like_df,False
kept_identifier_like_path,False
leaked_bp_cols,False
lgb,False
lgb_available,False
lime_available,False
log_loss,False
loguniform,False
make_ohe,False
merged_candidate,False
near_zero_var,False
np,True
num_cols,False
numeric_pipe,False
nunique_ratio,False
nunique_ratio_map,False
open,False
outliers,False
p,True
pd,True
plt,False
precision_score,False
preprocessor,False
quit,False
randint,False
random,False
raw_var_audit_df,False
raw_var_audit_path,False
raw_vars,False
recall_score,False
requested_remove,False
resolve_data_path,False
review_bits,False
roc_auc_score,False
sample_df,False
sbp,False
sbp_col,False
scatter_matrix,False
shap,False
shap_available,False
smoking_feature,False
smoking_sources,False
smote_available,False
sns,False
suspect_kept_df,False
target_col,False
to_numeric_clean,False
torch,False
torch_available,False
torch_cuda_available,False
train_base_before_id_drop,False
train_test_split,False
uniform,False
uniq_ratio,False
v,True
variable_audit_df,False
venn_available,False
warnings,False
whr_feature,False
whr_source_cols,False
x_lc,False
x_train_cols,False
xgb_available,False
y,True
y_raw,False
y_test,False
y_tmp,False
y_train,False
y_valid,False
z_scores,False
zscore,False
